C01 TITLE: CO2 monthly mean data 
C02 FILE NAME: bkt500s00.noaa.as.fl.co2.nl.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 160
C05 HEADER LINES: 38
C06 DATA VERSION: 201607
C07 STATION NAME: Bukit Koto Tabang 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: Indonesia
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: -0.2
C13 LONGITUDE: 100.32
C14 ALTITUDE: 864.5
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: ed.dlugokencky@noaa.gov
C18 PARAMETER: CO2
C19 COVERING PERIOD: 2004-01-01 2015-12-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppm
C22 MEASUREMENT METHOD: NDIR
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO2 mole fraction scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: Bureau of Meteorology and Geophysics [BMG]
C37 # comment: 
C38   DATE  TIME       DATE  TIME        CO2    ND      SD     F CS       REM
2004-01-01 00:00 9999-99-99 99:99     372.58 -9999 -99999. -9999  0 -99999999
2004-02-01 00:00 9999-99-99 99:99     371.30 -9999 -99999. -9999  0 -99999999
2004-03-01 00:00 9999-99-99 99:99     371.22 -9999 -99999. -9999  0 -99999999
2004-04-01 00:00 9999-99-99 99:99     376.12 -9999 -99999. -9999  0 -99999999
2004-05-01 00:00 9999-99-99 99:99     375.48 -9999 -99999. -9999  0 -99999999
2004-06-01 00:00 9999-99-99 99:99     371.52 -9999 -99999. -9999  0 -99999999
2004-07-01 00:00 9999-99-99 99:99     372.20 -9999 -99999. -9999  0 -99999999
2004-08-01 00:00 9999-99-99 99:99     372.51 -9999 -99999. -9999  0 -99999999
2004-09-01 00:00 9999-99-99 99:99     373.50 -9999 -99999. -9999  0 -99999999
2004-10-01 00:00 9999-99-99 99:99     375.09 -9999 -99999. -9999  0 -99999999
2004-11-01 00:00 9999-99-99 99:99     373.04 -9999 -99999. -9999  0 -99999999
2004-12-01 00:00 9999-99-99 99:99     371.17 -9999 -99999. -9999  0 -99999999
2005-01-01 00:00 9999-99-99 99:99     375.12 -9999 -99999. -9999  0 -99999999
2005-02-01 00:00 9999-99-99 99:99     380.07 -9999 -99999. -9999  0 -99999999
2005-03-01 00:00 9999-99-99 99:99     380.18 -9999 -99999. -9999  0 -99999999
2005-04-01 00:00 9999-99-99 99:99     376.08 -9999 -99999. -9999  0 -99999999
2005-05-01 00:00 9999-99-99 99:99     372.18 -9999 -99999. -9999  0 -99999999
2005-06-01 00:00 9999-99-99 99:99     372.57 -9999 -99999. -9999  0 -99999999
2005-07-01 00:00 9999-99-99 99:99     374.52 -9999 -99999. -9999  0 -99999999
2005-08-01 00:00 9999-99-99 99:99     374.06 -9999 -99999. -9999  0 -99999999
2005-09-01 00:00 9999-99-99 99:99     374.17 -9999 -99999. -9999  0 -99999999
2005-10-01 00:00 9999-99-99 99:99     373.27 -9999 -99999. -9999  0 -99999999
2005-11-01 00:00 9999-99-99 99:99     371.36 -9999 -99999. -9999  0 -99999999
